GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,iso3,Latitude,Longitude,Plant age (years),capacity_ttpa,n_operating_units,Main production equipment,litpop_value_usd,litpop_sum_25km_usd,litpop_ncells_25km,litpop_cell_lat,litpop_cell_lon,match_distance_km
P100001045282,Crest Steel and Power Mangatta steel plant,Crest Steel and Power Pvt Ltd,Atha Group [47.5%]; Ghanashyam Misra & Sons Pvt Ltd [47.5%],India,Asia Pacific,IND,21.190313,81.19922,21.13,96.0,1,DRI; IF; BF; EAF,1306781871.7744355,17090493954.363253,23,21.20833333,81.20833333,2.21533624215564
P100000120645,Daido Steel Chita plant (Tokai),Daido Steel Co Ltd,Daido Steel Co Ltd [100.0%],Japan,Asia Pacific,JPN,35.016404,136.864744,64.0,1500.0,1,EAF,27104407629.54368,1439619650330.7676,22,34.95833333,136.875,6.524418157768589
P100000120202,Danyang Longjiang Steel Co Ltd,Danyang Longjiang Steel Co Ltd,Hong Kong Qianlong Co Ltd [67.2%]; natural person(s) [32.8%],China,Asia Pacific,CHN,32.027791,119.57706,22.59,1500.0,1,BF; BOF,5805245295.940704,102713030996.41045,26,32.04166667,119.54166667,3.6757779535675588
P100000120376,Daye Huaxin Industrial Co Ltd,Daye Huaxin Industrial Co Ltd,natural person(s) [56.3%]; Hubei Xinxin Steel Group Co Ltd [21.1%]; Jin Jun'an Investment Group Co Ltd [18.9%]; unknown [3.7%],China,Asia Pacific,CHN,30.070219,114.926251,23.0,1150.0,1,BF; BOF,1002488417.5250294,46273565195.00691,27,30.04166667,114.95833333,4.4287502862503905
P100000120173,Daye Special Steel Co Ltd,Daye SPECIAL Steel Co Ltd,Citic Pacific Special Steel Group Co Ltd [100.0%],China,Asia Pacific,CHN,30.204603,115.125838,19.0,3420.0,1,BF; BOF; EAF,5065987125.999837,49895458985.18517,27,30.20833333,115.125,0.4225390931137903
P100000121072,Daye Xinye Special Steel Co Ltd,natural person(s); Hubei Xinxin Steel Group Co Ltd,Hubei Xinxin Steel Group Co Ltd [100.0%]; natural person(s) [100.0%],China,Asia Pacific,CHN,30.067469,114.934091,26.0,1200.0,1,BF; BOF,1002488417.5250294,45551188711.02555,26,30.04166667,114.95833333,3.698040029593012
P100000120121,Delong Steel Co Ltd,DELONG Steel Ltd,British Asia Pan Ruogen International Co Ltd [100.0%],China,Asia Pacific,CHN,37.086116,114.384832,26.0,3000.0,1,BF; BOF,676290293.567939,66640415292.63745,30,37.125,114.375,4.410747317991597
P100000120227,Dongbei Special Steel Group Dalian Special Steel Co Ltd,Dongbei Special Steel Group Dalian Special Steel Co Ltd,Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [42.8%]; Wuhu Yinsheng Special Steel Investment Management Partnership LP [31.4%]; unknown [15.9%]; Bengang Steel Plates Co Ltd [9.9%],China,Asia Pacific,CHN,39.193697,122.057788,57.0,2695.0,1,BF; BOF; EAF,278283618.2820494,14378633962.089565,20,39.20833333,122.04166667,2.1397357008287123
P100001063403,Dongyuan Dongnan Industrial Co Ltd,Dongyuan Dongnan Industrial Co Ltd,Dongyuan Dongnan Industrial Co Ltd [100.0%],China,Asia Pacific,CHN,24.038397,114.873435,16.89,720.0,1,EAF,24627219.044078365,930340871.9499532,23,24.04166667,114.875,0.3967889769518909
P100000120534,Electrosteel Bokaro steel plant,ESL Steel Ltd,Vedanta Ltd [95.5%]; small shareholder(s) [4.5%],India,Asia Pacific,IND,23.632907,86.293671,20.0,1500.0,1,BF; BOF; Steel other/unspecified,1365011682.389793,43723661303.1137,23,23.625,86.29166667,0.9026178093341857
P100000121207,Electrosteel Castings Srikalahasthi steel plant,Electrosteel Castings Ltd,Electrosteel Castings Ltd [100.0%],India,Asia Pacific,IND,13.717188,79.630588,32.0,0.0,2,BF; IF,142335900.08133274,3124759745.7270765,22,13.70833333,79.625,1.1549106606207644
P100000121195,Evonith Metallics Wardha steel plant,Evonith Metallics Ltd,Nithia Capital Resources Advisors LLP [55.7%]; AB CarVal Investors LP [44.3%],India,Asia Pacific,IND,20.704605,78.620293,32.0,0.0,1,BF; BOF,428413959.05805874,1404506450.6247082,22,20.70833333,78.625,0.6415328659726658
P100000121236,Evonith Value Steel Wardha steel plant,Evonith Metallics Ltd,Nithia Capital Resources Advisors LLP [55.7%]; AB CarVal Investors LP [44.3%],India,Asia Pacific,IND,20.696412,78.638548,56.0,1080.0,1,EAF,428413959.05805874,1496644980.6383405,23,20.70833333,78.625,1.9346922746733002
